# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=irish,Gaeilge
	ICON=Icons/irish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_NS=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_PS4=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_PS4=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_XB1=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_XB1=
		Ná cas an consól as nuair
		atá an íocón seo ar taispeáint
	AUTOSAVING_TITLE_PC=
		Sábhálann an cluiche seo go huathoibríoch
	AUTOSAVING_DESC_PC=
		Ná cas do ríomhaire as nuair
		atá an íocón seo ar taispeáint

# Main Menu
	MENU_DEBUG=		~DÍFHABHTAIGH~
	MENU_BEGIN=		DREAP
	MENU_PICO8=		PICO-8
	MENU_OPTIONS=	Roghanna
	MENU_CREDITS=	Creidiúintí
	MENU_EXIT=		Scoir

# Options
	OPTIONS_TITLE=			ROGHANNA
	OPTIONS_CONTROLS=		RIALTÁIN
	OPTIONS_RUMBLE_PC=		Tormáil
	OPTIONS_RUMBLE_PS4=		Creathadh
	OPTIONS_RUMBLE_XB1=		Creathadh
	OPTIONS_RUMBLE_NS=		Tormáil
	OPTIONS_RUMBLE_ON=		100%
	OPTIONS_RUMBLE_HALF=	50%
	OPTIONS_RUMBLE_OFF=		AS
	OPTIONS_GRAB_MODE=		Mód Greama
	OPTIONS_CROUCH_DASH_MODE=	Mód Crom-Deifrithe
	OPTIONS_BUTTON_PRESS=	Brúigh
	OPTIONS_BUTTON_HOLD=	Coinnigh síos
	OPTIONS_BUTTON_INVERT=	Aisiompaigh
	OPTIONS_BUTTON_TOGGLE=	Scoránaigh
	OPTIONS_KEYCONFIG=		Cumraíocht Méarchláir
	OPTIONS_BTNCONFIG=		Cumraíocht Rialtáin

	OPTIONS_VIDEO=			FÍSEÁN
	OPTIONS_FULLSCREEN=		Lánscáileán
	OPTIONS_WINDOW=			Scála Fuinneoige
	OPTIONS_VSYNC=			Sinc Cheartingearach
	OPTIONS_VIEWPORT_NS=	Oiriúnaigh Méid Scáileáin
	OPTIONS_VIEWPORT_PS4=	Oiriúnaigh Méid Scáileáin
	OPTIONS_VIEWPORT_XB1=	Oiriúnaigh Méid Scáileáin
	OPTIONS_VIEWPORT_PC=	Oiriúnaigh Méid Scáileáin
	OPTIONS_DISABLE_FLASH=	Mód Fótamhothálach
	OPTIONS_DISABLE_SHAKE=	Éifeachtaí Crothach Scáileáin

	OPTIONS_AUDIO=			CLOSÁN
